recordID,scientificName,reportedTaxon,species,kingdom,phylum,class,order,family,taxonRank,isHybrid,country,countryCode_alpha2,countryCode_alpha3,habitat,occurrenceStatus,establishmentMeans,isInvasive,species_ALA,scientific_name,taxon_concept_id,match_type,issues,Comments
2154,"Acar plicata (Dillwyn, 1817)","Acar plicata (Dillwyn, 1817)",Acar plicata,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,SPECIES,FALSE,Australia,AU,AUS,MARINE,PRESENT,ALIEN,NULL,Acar plicata,Acar plicata,urn:lsid:biodiversity.org.au:afd.taxon:5897147d-c5ec-4d6e-9755-e12279afb5a1,exactMatch,noIssue,
2194,"Acentrogobius pflaumii (Bleeker, 1853)","Acentrogobius pflaumii (Bleeker, 1853)",Acentrogobius pflaumii,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,SPECIES,FALSE,Australia,AU,AUS,BRACKISH|MARINE,PRESENT,ALIEN,INVASIVE,Acentrogobius pflaumii,Acentrogobius pflaumii,urn:lsid:biodiversity.org.au:afd.taxon:c2e7622b-7ee3-496e-b620-3ffe90c2e7df,exactMatch,noIssue,
2235,Acer negundo L.,Acer negundo L.,Acer negundo,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acer negundo,Acer negundo,https://id.biodiversity.org.au/node/apni/2901529,exactMatch,noIssue,
2284,Acer palmatum C.P.Thunberg ex A.Murray,Acer palmatum C.P.Thunberg ex A.Murray,Acer palmatum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acer palmatum,Acer palmatum,https://id.biodiversity.org.au/node/apni/2909487,exactMatch,noIssue,
2295,Acer platanoides L.,Acer platanoides L.,Acer platanoides,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acer platanoides,Acer platanoides,NZOR-6-67239,exactMatch,noIssue,
2305,Acer pseudoplatanus L.,Acer pseudoplatanus L.,Acer pseudoplatanus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acer pseudoplatanus,Acer pseudoplatanus,https://id.biodiversity.org.au/node/apni/2887660,exactMatch,noIssue,
2485,Achillea distans Waldst. & Kit. ex Willd.,Achillea distans Waldst. & Kit. ex Willd.,Achillea distans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Achillea distans,Achillea distans,https://id.biodiversity.org.au/node/apni/2904116,exactMatch,noIssue,
2510,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Achillea millefolium,Achillea millefolium,https://id.biodiversity.org.au/node/apni/2899291,exactMatch,matchedToMisappliedName,matchedToMisappliedName
2542,Achillea ptarmica L.,Achillea ptarmica L.,Achillea ptarmica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Achillea ptarmica,Achillea ptarmica,NZOR-6-66177,exactMatch,noIssue,
2774,Acokanthera oblongifolia (Hochst.) Benth. & Hook.fil. ex B.D.Jacks.,Acokanthera oblongifolia (Hochst.) Benth. & Hook.fil. ex B.D.Jacks.,Acokanthera oblongifolia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acokanthera oblongifolia,Acokanthera oblongifolia,https://id.biodiversity.org.au/node/apni/4335923,exactMatch,noIssue,
2897,"Acridotheres tristis (Linnaeus, 1766)","Acridotheres tristis (Linnaeus, 1766)",Acridotheres tristis,Animalia,Chordata,Aves,Passeriformes,Sturnidae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,INVASIVE,Acridotheres tristis,Acridotheres tristis,urn:lsid:biodiversity.org.au:afd.taxon:cecded9e-f904-4f57-8711-43947ae9c5a5,exactMatch,noIssue,
2946,Acroceras macrum Stapf,Acroceras macrum Stapf,Acroceras macrum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Acroceras macrum,Acroceras macrum,https://id.biodiversity.org.au/node/apni/2888304,exactMatch,noIssue,
2988,"Acrosymphyton taylorii I.A.Abbott, 1962","Acrosymphyton taylorii I.A.Abbott, 1962",Acrosymphyton taylorii,Plantae,Rhodophyta,Florideophyceae,Acrosymphytales,Acrosymphytaceae,SPECIES,FALSE,Australia,AU,AUS,MARINE,PRESENT,CRYPTOGENIC|UNCERTAIN,NULL,Acrosymphyton taylorii,Acrosymphyton taylorii,55042002,exactMatch,noIssue,
3194,Adenocarpus complicatus (L.) Gay,Adenocarpus complicatus (L.) Gay,Adenocarpus complicatus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Adenocarpus complicatus,Adenocarpus complicatus,https://id.biodiversity.org.au/node/apni/2895778,exactMatch,noIssue,
3297,Adonis microcarpa DC.,Adonis microcarpa DC.,Adonis microcarpa,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Adonis microcarpa,Adonis microcarpa,https://id.biodiversity.org.au/node/apni/2917651,exactMatch,noIssue,
3515,Aegle marmelos Corr€Ýa,Aegle marmelos Corr€Ýa,Aegle marmelos,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aegle marmelos,Aegle marmelos,https://id.biodiversity.org.au/node/apni/2890944,exactMatch,noIssue,
3522,Aegopodium podagraria L.,Aegopodium podagraria L.,Aegopodium podagraria,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aegopodium podagraria,Aegopodium podagraria,https://id.biodiversity.org.au/node/apni/2894538,exactMatch,noIssue,
3541,Aeonium arboreum Webb & Berthel.,Aeonium arboreum Webb & Berthel.,Aeonium arboreum,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeonium arboreum,Aeonium arboreum,https://id.biodiversity.org.au/node/apni/2917817,exactMatch,noIssue,
3549,Aeonium castello-paivae Bolle,Aeonium castello-paivae Bolle,Aeonium castello-paivae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,NA,Aeonium,https://id.biodiversity.org.au/node/apni/2917933,higherMatch,misappliedName,misappliedName
3554,Aeonium haworthii Webb & Berthel.,Aeonium haworthii Webb & Berthel.,Aeonium haworthii,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeonium haworthii,Aeonium haworthii,https://id.biodiversity.org.au/node/apni/2918279,exactMatch,noIssue,
3573,Aerva javanica Juss.,Aerva javanica Juss.,Aerva javanica,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aerva javanica,Aerva javanica,https://id.biodiversity.org.au/node/apni/2890404,exactMatch,noIssue,
3583,Aeschynomene americana L.,Aeschynomene americana L.,Aeschynomene americana,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene americana,Aeschynomene americana,https://id.biodiversity.org.au/taxon/apni/51299757,exactMatch,matchedToMisappliedName,matchedToMisappliedName
3607,Aeschynomene brasiliana DC.,Aeschynomene brasiliana DC.,Aeschynomene brasiliana,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene brasiliana,Aeschynomene brasiliana,https://id.biodiversity.org.au/node/apni/2900676,exactMatch,noIssue,
3609,Aeschynomene brevifolia Poir.,Aeschynomene brevifolia Poir.,Aeschynomene brevifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene brevifolia,Aeschynomene brevifolia,https://id.biodiversity.org.au/taxon/apni/51285277,exactMatch,noIssue,
3634,Aeschynomene micranthos (Poir.) DC.,Aeschynomene micranthos (Poir.) DC.,Aeschynomene micranthos,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene brevifolia,Aeschynomene brevifolia,https://id.biodiversity.org.au/taxon/apni/51285277,fuzzyMatch,noIssue,Higher taxa
3635,Aeschynomene paniculata Willd. ex Vogel,Aeschynomene paniculata Willd. ex Vogel,Aeschynomene paniculata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene paniculata,Aeschynomene paniculata,https://id.biodiversity.org.au/node/apni/2913368,exactMatch,noIssue,
3638,Aeschynomene villosa Poir.,Aeschynomene villosa Poir.,Aeschynomene villosa,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aeschynomene villosa,Aeschynomene villosa,https://id.biodiversity.org.au/node/apni/2897462,exactMatch,noIssue,
3654,Aesculus hippocastanum L.,Aesculus hippocastanum L.,Aesculus hippocastanum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aesculus hippocastanum,Aesculus hippocastanum,https://id.biodiversity.org.au/node/apni/2914962,exactMatch,noIssue,
3724,Afrocarpus falcatus (Thunb.) C.N.Page,Afrocarpus falcatus (Thunb.) C.N.Page,Afrocarpus falcatus,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Afrocarpus falcata,Afrocarpus falcata,https://id.biodiversity.org.au/node/apni/2904941,exactMatch,noIssue,
3746,Agapanthus praecox Willd.,Agapanthus praecox Willd.,Agapanthus praecox,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agapanthus praecox,Agapanthus praecox,https://id.biodiversity.org.au/node/apni/2900546,exactMatch,noIssue,
3812,Agathosma crenulata (L.) Pillans,Agathosma crenulata (L.) Pillans,Agathosma crenulata,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agathosma crenulata,Agathosma crenulata,https://id.biodiversity.org.au/node/apni/2912456,exactMatch,noIssue,
3817,Agave americana L.,Agave americana L.,Agave americana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agave americana,Agave americana,https://id.biodiversity.org.au/node/apni/2891639,exactMatch,noIssue,
3884,Agave attenuata Salm-Dyck,Agave attenuata Salm-Dyck,Agave attenuata,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agave attenuata,Agave attenuata,https://id.biodiversity.org.au/node/apni/2906432,exactMatch,noIssue,
3923,Agave sisalana Perrine,Agave sisalana Perrine,Agave sisalana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agave sisalana,Agave sisalana,https://id.biodiversity.org.au/node/apni/2898621,exactMatch,noIssue,
3992,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ageratina adenophora,Ageratina adenophora,https://id.biodiversity.org.au/node/apni/2916475,exactMatch,noIssue,
4023,Ageratina ligustrina (DC.) R.M.King & H.Rob.,Ageratina ligustrina (DC.) R.M.King & H.Rob.,Ageratina ligustrina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ageratina ligustrina,Ageratina ligustrina,https://id.biodiversity.org.au/node/apni/2907625,exactMatch,noIssue,
4026,Ageratina riparia (Regel) R.M.King & H.Rob.,Ageratina riparia (Regel) R.M.King & H.Rob.,Ageratina riparia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ageratina riparia,Ageratina riparia,https://id.biodiversity.org.au/node/apni/2899012,exactMatch,noIssue,
4043,Ageratum conyzoides L.,Ageratum conyzoides L.,Ageratum conyzoides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ageratum conyzoides,Ageratum conyzoides,https://id.biodiversity.org.au/taxon/apni/51267212,exactMatch,noIssue,
4132,Ageratum houstonianum Mill.,Ageratum houstonianum Mill.,Ageratum houstonianum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ageratum houstonianum,Ageratum houstonianum,https://id.biodiversity.org.au/node/apni/2912908,exactMatch,noIssue,
4191,Aglaonema commutatum Schott,Aglaonema commutatum Schott,Aglaonema commutatum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aglaonema commutatum,Aglaonema commutatum,https://id.biodiversity.org.au/node/apni/2918009,exactMatch,noIssue,
4226,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agrimonia eupatoria,Agrimonia eupatoria,https://id.biodiversity.org.au/node/apni/2910696,exactMatch,noIssue,
4277,Agrostemma githago L.,Agrostemma githago L.,Agrostemma githago,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agrostemma githago,Agrostemma githago,https://id.biodiversity.org.au/node/apni/2899474,exactMatch,noIssue,
4320,Agrostis capillaris L.,Agrostis capillaris L.,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agrostis capillaris,Agrostis capillaris,https://id.biodiversity.org.au/node/apni/2896258,exactMatch,noIssue,
4342,Agrostis gigantea Roth,Agrostis gigantea Roth,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agrostis gigantea,Agrostis gigantea,https://id.biodiversity.org.au/node/apni/2892860,exactMatch,noIssue,
4357,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Agrostis hyemalis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,NA,Agrostis,https://id.biodiversity.org.au/node/apni/8414492,higherMatch,misappliedName,misappliedName
4381,Agrostis stolonifera L.,Agrostis stolonifera L.,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Agrostis stolonifera,Agrostis stolonifera,https://id.biodiversity.org.au/node/apni/2906084,exactMatch,noIssue,
4407,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ailanthus altissima,Ailanthus altissima,https://id.biodiversity.org.au/node/apni/2916914,exactMatch,noIssue,
4475,Aira caryophyllea L.,Aira caryophyllea L.,Aira caryophyllea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aira caryophyllea,Aira caryophyllea,https://id.biodiversity.org.au/node/apni/2888611,exactMatch,noIssue,
4487,Aira cupaniana Guss.,Aira cupaniana Guss.,Aira cupaniana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aira cupaniana,Aira cupaniana,https://id.biodiversity.org.au/node/apni/2915129,exactMatch,noIssue,
4493,Aira elegans Willd. ex Roem. & Schult.,Aira elegantissima Schur,Aira elegans,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aira elegantissima,Aira elegantissima,https://id.biodiversity.org.au/node/apni/2911795,taxonIdMatch,misappliedName,misappliedName
4501,Aira praecox L.,Aira praecox L.,Aira praecox,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aira praecox,Aira praecox,https://id.biodiversity.org.au/node/apni/2913741,exactMatch,noIssue,
4506,Aira provincialis Jord.,Aira provincialis Jord.,Aira provincialis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Aira provincialis,Aira provincialis,https://id.biodiversity.org.au/node/apni/2918840,exactMatch,noIssue,
42840,Aizoon pubescens Eckl. & Zeyh.,Galenia pubescens (Eckl. & Zeyh.) Druce,Aizoon pubescens,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Galenia pubescens,Galenia pubescens var. pubescens,https://id.biodiversity.org.au/node/apni/2891732,exactMatch,noIssue,
4559,Ajuga iva Schreb.,Ajuga iva Schreb.,Ajuga iva,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ajuga iva,Ajuga iva,https://id.biodiversity.org.au/node/apni/2913180,exactMatch,noIssue,
4561,Ajuga reptans L.,Ajuga reptans L.,Ajuga reptans,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Ajuga reptans,Ajuga reptans,https://id.biodiversity.org.au/node/apni/2908074,exactMatch,noIssue,
4571,Akebia quinata Decne.,Akebia quinata Decne.,Akebia quinata,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Lardizabalaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Akebia quinata,Akebia quinata,https://id.biodiversity.org.au/node/apni/2887691,exactMatch,noIssue,
4582,"Alauda arvensis Linnaeus, 1758","Alauda arvensis Linnaeus, 1758",Alauda arvensis,Animalia,Chordata,Aves,Passeriformes,Alaudidae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Alauda arvensis,Alauda arvensis,urn:lsid:biodiversity.org.au:afd.taxon:d8b6fd0b-433a-40c4-a647-da94e3912b74,exactMatch,parentChildSynonym,
4792,Alcea rosea L.,Alcea rosea L.,Alcea rosea,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Alcea rosea,Alcea rosea,https://id.biodiversity.org.au/node/apni/2918521,exactMatch,noIssue,
4885,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Alchemilla xanthochlora,Alchemilla xanthochlora,https://id.biodiversity.org.au/node/apni/2912242,exactMatch,noIssue,
4924,"Alectura lathami Gray, 1831","Alectura lathami Gray, 1831",Alectura lathami,Animalia,Chordata,Aves,Galliformes,Megapodiidae,SPECIES,FALSE,Australia,AU,AUS,TERRESTRIAL,PRESENT,ALIEN,NULL,Alectura lathami,Alectura lathami,urn:lsid:biodiversity.org.au:afd.taxon:036fcf6e-6acc-4872-b5ce-e28904c50986,exactMatch,parentChildSynonym,
